Unnamed: 0,发文原始时间,发文日期,发文时间 HH:MM:SS,发布者名字,内容信息,机翻内容,被提及人,频道,new_comment
398,2022-07-31 16:24:51,2022-07-31,16:24:51,~~DesertRainbow~~, , ,,general-chat,
399,2022-07-31 16:24:49,2022-07-31,16:24:49,~~DesertRainbow~~,Less, ,,general-chat,
400,2022-07-31 16:24:46,2022-07-31,16:24:46,battlebot579,quite a good bit, ,,general-chat,bit
401,2022-07-31 16:24:30,2022-07-31,16:24:30,PorterEva,sheesh how active was i?, ,,general-chat,sheesh activ
402,2022-07-31 16:24:27,2022-07-31,16:24:27,battlebot579,"I am joking in a sarcastic way that also indicates ""I want that thing""", ,~~DesertRainbow~~,general-chat,joke sarcast
403,2022-07-31 16:23:51,2022-07-31,16:23:51,~~DesertRainbow~~,You're kidding, ,,general-chat,kid
404,2022-07-31 16:23:47,2022-07-31,16:23:47,~~DesertRainbow~~,Bwaahahahha, ,,general-chat,bwaahahahha
405,2022-07-31 16:23:41,2022-07-31,16:23:41,battlebot579,Just like how James' hunter will drop his beard, ,,general-chat,jame hunter drop beard
406,2022-07-31 16:23:23,2022-07-31,16:23:23,battlebot579,And make it drop an axe as a weapon when it dies, ,,general-chat,drop axe weapon die
407,2022-07-31 16:22:50,2022-07-31,16:22:50,battlebot579,A special hunter boss enemy would be nice :)), ,~~DesertRainbow~~,general-chat,special hunter boss enemi nice
408,2022-07-31 16:22:26,2022-07-31,16:22:26,battlebot579,😂, ,,general-chat,
409,2022-07-31 16:22:26,2022-07-31,16:22:26,~~DesertRainbow~~,Tell them to shove your name on a statue, ,,general-chat,shove statu
410,2022-07-31 16:22:20,2022-07-31,16:22:20,~~DesertRainbow~~,Win the community engagement medal, ,,general-chat,win communiti engag medal
411,2022-07-31 16:22:13,2022-07-31,16:22:13,~~DesertRainbow~~,"You, sir", ,,general-chat,sir
412,2022-07-31 16:21:37,2022-07-31,16:21:37,battlebot579,, ,,general-chat,nan
413,2022-07-31 16:21:13,2022-07-31,16:21:13,battlebot579,well it ends later today but yes I would assume so, ,~~DesertRainbow~~,general-chat,assum
414,2022-07-31 16:19:26,2022-07-31,16:19:26,PorterEva,pretty much, ,,general-chat,pretti
415,2022-07-31 16:18:25,2022-07-31,16:18:25,~~DesertRainbow~~,Is it quiet in here now that it's all over?, ,,general-chat,quiet
416,2022-07-31 16:18:13,2022-07-31,16:18:13,~~DesertRainbow~~,Mornin, ,,general-chat,mornin
417,2022-07-31 16:12:06,2022-07-31,16:12:06,battlebot579,Mornin', ,,general-chat,mornin
418,2022-07-31 15:41:10,2022-07-31,15:41:10,PorterEva,🤣, ,,general-chat,
419,2022-07-31 15:41:00,2022-07-31,15:41:00,Frays,awww, ,,general-chat,aww
420,2022-07-31 15:40:50,2022-07-31,15:40:50,PorterEva,my poor child mind wasn't ready to see monsters just yet, ,,general-chat,poor child mind readi monster
421,2022-07-31 15:40:29,2022-07-31,15:40:29,PorterEva,first time i played ratchet and clank on the PS2 i was scared to approach any enemies and just nade spam because they were all hideous lol, ,,general-chat,time play ratchet clank ps scare approach enemi nade spam hideous lol
422,2022-07-31 15:39:09,2022-07-31,15:39:09,PorterEva,but tbh i was a small kid so no skill, ,,general-chat,tbh kid skill
423,2022-07-31 15:38:56,2022-07-31,15:38:56,PorterEva,i remember when i got my ass handed to the ratchet clones in that one level lol, ,,general-chat,rememb ass hand ratchet clone level lol
424,2022-07-31 15:38:26,2022-07-31,15:38:26,Frays,didn't play little big planet but I love ratchet and clank, ,,general-chat,play planet love ratchet clank
425,2022-07-31 15:37:52,2022-07-31,15:37:52,PorterEva,i probably missed out on Ratchet and Clank and Little Big Planet multiplayer 💀, ,,general-chat,miss ratchet clank planet multiplay
426,2022-07-31 15:36:54,2022-07-31,15:36:54,PorterEva,PSP street. because you won't have WI-Fi on the streets anyways lol, ,,general-chat,psp street wifi street lol
427,2022-07-31 15:36:47,2022-07-31,15:36:47,Frays,I don't remember its exact model number but I think that it was called like this, ,,general-chat,rememb exact model call
428,2022-07-31 15:36:30,2022-07-31,15:36:30,Frays,"oh, I think that's the PSP street or something like that?", ,,general-chat,psp street
429,2022-07-31 15:36:11,2022-07-31,15:36:11,PorterEva,i sometimes wonder why my PSP model doesn't have internet access, ,,general-chat,psp model internet access
430,2022-07-31 15:35:48,2022-07-31,15:35:48,Frays,"the psp is great too, bought a battery for mine recently", ,,general-chat,psp bought batteri mine
431,2022-07-31 15:35:45,2022-07-31,15:35:45,PorterEva,and it wasn't the normal one, ,,general-chat,normal
432,2022-07-31 15:35:34,2022-07-31,15:35:34,PorterEva,i only know PSP, ,,general-chat,psp
433,2022-07-31 15:35:18,2022-07-31,15:35:18,Frays,"the only playstation I play atm is the vita, so", ,,general-chat,playstat play atm vita
434,2022-07-31 15:35:08,2022-07-31,15:35:08,Frays,oh lmao, ,,general-chat,lmao
435,2022-07-31 15:34:59,2022-07-31,15:34:59,PorterEva,nah PC lol, ,,general-chat,nah pc lol
436,2022-07-31 15:34:54,2022-07-31,15:34:54,Frays,for your ps5?, ,,general-chat,ps
437,2022-07-31 15:34:40,2022-07-31,15:34:40,PorterEva,Playstation is slacking and i still don't have a PS Camera Adapter, ,,general-chat,playstat slack ps camera adapt
438,2022-07-31 15:34:23,2022-07-31,15:34:23,PorterEva,"no, IM NO FINE", ,,general-chat,fine
439,2022-07-31 15:34:18,2022-07-31,15:34:18,PorterEva,fine..., ,,general-chat,fine
440,2022-07-31 15:34:13,2022-07-31,15:34:13,Frays,How are you doing today?, ,,general-chat,
441,2022-07-31 15:33:55,2022-07-31,15:33:55,PorterEva,"Hello, Officer", ,,general-chat,offic
442,2022-07-31 15:24:23,2022-07-31,15:24:23,Frays,Hello 🙂, ,,general-chat,
443,2022-07-31 14:47:08,2022-07-31,14:47:08,PorterEva,so they are based on UK?, ,,general-chat,base uk
444,2022-07-31 14:46:29,2022-07-31,14:46:29,D3LT4_Moody,"European mosquitoes can only have knives instead of guns, like their American counterparts, so they needed to adapt and become quieter to get their meal xD", ,Gregg2G,general-chat,european mosquito knive gun american counterpart adapt quieter meal
445,2022-07-31 14:40:39,2022-07-31,14:40:39,D3LT4_Moody,"*are we rushing in, or are we doing sneaky beekki like*", ,Gregg2G,general-chat,rush sneaki beekki
446,2022-07-31 14:38:47,2022-07-31,14:38:47,D3LT4_Moody,"The two drone skills are a bit bugged for me, sometimes the drone does absolutely nothing when I use either one and sometimes the drone does the exact same thing for both skills. So doesn't really feel good or reliable to use for me...", ,battlebot579,general-chat,drone skill bit bug drone absolut drone exact skill feel reliabl
447,2022-07-31 14:30:20,2022-07-31,14:30:20,PorterEva,https://tenor.com/view/disappointment-gif-24012485, ,,general-chat,
448,2022-07-31 12:42:39,2022-07-31,12:42:39,Riggy Gaming,And it runs pretty well on max graphics 😅, ,,feedback-and-bugs,run pretti max graphic
449,2022-07-31 12:42:09,2022-07-31,12:42:09,Riggy Gaming,I am playing it on that phone 😅, ,HiKo,feedback-and-bugs,play phone
450,2022-07-31 09:03:52,2022-07-31,09:03:52,battlebot579,Running CoDM not much good if ubi hasn't tested it (or it did not satisfy them with the outcome on the device), ,HiKo,feedback-and-bugs,run codm ubi test satisfi outcom devic
451,2022-07-31 08:48:15,2022-07-31,08:48:15,HiKo,Why i can't play the game ?Why my phone is not compatible with the game ?He can run COD mobile without any problems (Samsung A70), ,,feedback-and-bugs,play game phone compat game cod mobil samsung
452,2022-07-31 07:48:11,2022-07-31,07:48:11,Sternitzky,"Ingame character name (Avatrunei)Device information (Samsung Galaxy S20 FE 5G)Issue (Couldn't finish weekly bounty)Issue type (environment)Description (All enemies down in Lt. Boom instance, yet the game prompts me to secure the area)Result (Couldn't finish the instance, had to force-close game)Expected result (All enemies down, being able to leave instance to main map)Steps to reproduce (At the Statue of Liberty I snipered all the last enemies to death from distance. Maybe this caused the issue.)", ,,feedback-and-bugs,ingam charact avatrunei devic samsung galaxi fe issu finish week bounti issu type environ descript enemi lt boom instanc game prompt secur result finish instanc forceclos game expect result enemi leav instanc main map step reproduc statu liberti sniper enemi death distanc caus issu
453,2022-07-31 07:37:45,2022-07-31,07:37:45,Dyno,"Ingame character name (please specify)Device informationIssue (Can you say in as few words as possible what happened that you think is wrong)Issue type (Is it an issue with the gameplay, UI, menu, visual, auditory or the environment)Description (What exactly is the issue at hand, can you describe in detail what the bug is or what it does/causes the game to do)Result (What happened that should not have happened)Expected result (What, if anything, should whatever you did to experience the bug have done normally)Steps to reproduce (Describe in as much detail as you can, with anything that you think is relevant, what exactly you did that caused this issue, so that it can be reproduced, confirmed by staff in cross-referenced to other reports and fixed)", ,,feedback-and-bugs,ingam charact devic informationissu happen wrong issu type issu gameplay ui menu visual auditori environ descript issu hand detail bug game result happen happen expect result experi bug step reproduc detail relev caus issu reproduc confirm staff crossreferenc report fix
454,2022-07-31 07:37:45,2022-07-31,07:37:45,Sternitzky,?SHDbug, ,,feedback-and-bugs,shdbug
455,2022-07-31 06:47:51,2022-07-31,06:47:51,Ticklish,https://tenor.com/view/agt-americas-got-talent-piers-morgan-golden-buzzer-push-gif-4434998, ,,general-chat,
456,2022-07-31 06:46:19,2022-07-31,06:46:19,battlebot579,"Not compatible with my xperia 10 III either (I know that s21 should've been compatible) but swings and roundabouts at least you are here right? You could've just not been selected, if you have a read through lots of the channels you can absorb knowledge about the game Hopefully by next time more phones will be available", ,hakuna matata,feedback-and-bugs,compat xperia ii shouldv compat swing roundabout couldv select read lot channel absorb knowledg game time phone
457,2022-07-31 06:30:00,2022-07-31,06:30:00,hakuna matata,I could not even play it cuz it's not compatible with my Samsung s21 5g, ,,feedback-and-bugs,play cuz compat samsung
458,2022-07-31 06:29:40,2022-07-31,06:29:40,battlebot579,https://tenor.com/view/simon-cowell-look-stare-red-eyes-laser-gif-12692635, ,,general-chat,
459,2022-07-31 06:21:11,2022-07-31,06:21:11,Ticklish,https://tenor.com/view/hacker-hack-gif-21380096, ,,general-chat,
460,2022-07-31 06:20:33,2022-07-31,06:20:33,Ticklish,Nice email there, ,PorterEva,general-chat,nice email
461,2022-07-31 04:32:13,2022-07-31,04:32:13,Gregg2G,man I swear european mosquitoes are more stealthy than american mosquitoes, ,,general-chat,swear european mosquito stealthi american mosquito
462,2022-07-31 04:31:59,2022-07-31,04:31:59,Gregg2G,ffffff mosiquito in my room somewhere eating me alive, ,,general-chat,mosiquito eat aliv
463,2022-07-31 04:25:46,2022-07-31,04:25:46,battlebot579,still got what 26 hours so no pressure, ,,general-chat,hour pressur
464,2022-07-31 04:25:31,2022-07-31,04:25:31,Gregg2G,it's late though I'll try to get on earlier tomorrow, ,,general-chat,late earlier tomorrow
465,2022-07-31 04:25:25,2022-07-31,04:25:25,battlebot579,try again tomorrow then?, ,,general-chat,tomorrow
466,2022-07-31 04:25:17,2022-07-31,04:25:17,battlebot579,rip, ,,general-chat,rip
467,2022-07-31 04:24:51,2022-07-31,04:24:51,Gregg2G,might be a chore to find someone at this point.. only been one or two people playing missions for the last hour :x one guy doing a mission on story difficulty and I don't know if I can / want to crash someone's story mode mission, ,battlebot579,general-chat,chore peopl play mission hour guy mission stori difficulti crash someon stori mode mission
468,2022-07-31 03:44:28,2022-07-31,03:44:28,flashyboy82,I think a wee night of div 1 legendaries is my plan for this evening. Wife and son are away to bed early haha, ,,other-division-games,wee night div legendari plan even wife son bed haha
469,2022-07-31 03:44:22,2022-07-31,03:44:22,battlebot579,Its the teach a man to fish thing 😂, ,,general-chat,teach fish
470,2022-07-31 03:44:17,2022-07-31,03:44:17,Gregg2G,"I do like healing too, so I should give it a shot anyway", ,,general-chat,heal shot
471,2022-07-31 03:44:05,2022-07-31,03:44:05,battlebot579,instead of carrying you make the noob carry themselves, ,,general-chat,carri noob carri
472,2022-07-31 03:43:44,2022-07-31,03:43:44,Gregg2G,"yeah I'm sure I could do that, instead of just carrying and wiping everything out like I usually do 😅", ,,general-chat,yeah carri wipe
473,2022-07-31 03:43:27,2022-07-31,03:43:27,battlebot579,If it stops them dying well then I'll take it 😂, ,,general-chat,stop die
474,2022-07-31 03:42:52,2022-07-31,03:42:52,battlebot579,"pls do I wanna run a healer build, try and run with a super low level person and keep them alive or something", ,Gregg2G,general-chat,pls wanna healer build super low level person aliv
475,2022-07-31 03:41:31,2022-07-31,03:41:31,Gregg2G,oh 23:59 plenty of time, ,,general-chat,plenti time
476,2022-07-31 03:41:15,2022-07-31,03:41:15,Gregg2G,what time does it end tomorrow?, ,,general-chat,time tomorrow
477,2022-07-31 03:40:50,2022-07-31,03:40:50,Gregg2G,could give it a shot tonight or tomorrow, ,,general-chat,shot tonight tomorrow
478,2022-07-31 03:40:31,2022-07-31,03:40:31,Gregg2G,"haven't tried the healing variant, since healing isn't really needed in the current content", ,,general-chat,heal variant heal current content
479,2022-07-31 03:40:14,2022-07-31,03:40:14,battlebot579,How about for heals doe, ,Gregg2G,general-chat,heal doe
480,2022-07-31 03:39:56,2022-07-31,03:39:56,Gregg2G,With over 500 engineering and +20% uptime my drones just clear out whole rooms in seconds, ,,general-chat,engin uptim drone
481,2022-07-31 03:38:42,2022-07-31,03:38:42,Gregg2G,I like tech specialist a lot actually. Might be the strongest build I used so far., ,,general-chat,tech specialist lot strongest build
482,2022-07-31 03:37:55,2022-07-31,03:37:55,Ghoul,Like flashboy already said ❤️, ,,general-chat,flashboy
483,2022-07-31 03:37:31,2022-07-31,03:37:31,Ghoul,And close it, ,,general-chat,close
484,2022-07-31 03:37:24,2022-07-31,03:37:24,Ghoul,And I just use the the button to show all active applications, ,,general-chat,button activ applic
485,2022-07-31 03:37:14,2022-07-31,03:37:14,flashyboy82,"Game autosaves and closing it well when I hit my homescreen button it closes it, occasionally I have to bring up the rolling screen for closing all active apps", ,,general-chat,game autosav close hit homescreen button close occasion bring roll screen close activ app
486,2022-07-31 03:36:44,2022-07-31,03:36:44,Ghoul,"You dont need to save, its automatic", ,,general-chat,save automat
487,2022-07-31 03:35:27,2022-07-31,03:35:27,xSILVERFALCONx,How do you save and close the game, ,,general-chat,save close game
488,2022-07-31 03:23:32,2022-07-31,03:23:32,Ghoul,Its a bug!, ,,other-division-games,bug
489,2022-07-31 03:16:46,2022-07-31,03:16:46,battlebot579,underwhelming or just doesn't work as well as it should, ,,general-chat,underwhelm
490,2022-07-31 03:16:07,2022-07-31,03:16:07,battlebot579,whats up with it like, ,D3LT4_Moody,general-chat,
491,2022-07-31 03:15:13,2022-07-31,03:15:13,battlebot579,https://tenor.com/view/why-whatever-gif-23592041, ,Ghoul,other-division-games,
492,2022-07-31 03:14:48,2022-07-31,03:14:48,Dyno,"Ingame character name (please specify)Device informationIssue (Can you say in as few words as possible what happened that you think is wrong)Issue type (Is it an issue with the gameplay, UI, menu, visual, auditory or the environment)Description (What exactly is the issue at hand, can you describe in detail what the bug is or what it does/causes the game to do)Result (What happened that should not have happened)Expected result (What, if anything, should whatever you did to experience the bug have done normally)Steps to reproduce (Describe in as much detail as you can, with anything that you think is relevant, what exactly you did that caused this issue, so that it can be reproduced, confirmed by staff in cross-referenced to other reports and fixed)", ,,other-division-games,ingam charact devic informationissu happen wrong issu type issu gameplay ui menu visual auditori environ descript issu hand detail bug game result happen happen expect result experi bug step reproduc detail relev caus issu reproduc confirm staff crossreferenc report fix
493,2022-07-31 03:14:48,2022-07-31,03:14:48,Ghoul,?SHDbug, ,,other-division-games,shdbug
494,2022-07-31 03:03:10,2022-07-31,03:03:10,Caiucleto,🥑, ,,general-chat,
495,2022-07-31 02:52:11,2022-07-31,02:52:11,PorterEva,someone is opening crates outside my group and i'm getting weekly directive intel mission progression lol, ,,other-division-games,crate week direct intel mission progress lol
496,2022-07-31 02:31:14,2022-07-31,02:31:14,PorterEva,https://tenor.com/view/homie-shower-gotchu-sneaky-gif-13813267, ,,general-chat,
497,2022-07-31 02:31:13,2022-07-31,02:31:13,PorterEva,Discord:, ,,general-chat,discord
498,2022-07-31 02:26:54,2022-07-31,02:26:54,Sternitzky,Standard quality in 9 of 10 times is really bad luck. I had in that time many greens or blues., ,,feedback-and-bugs,standard qualiti time bad luck time green blue
499,2022-07-31 02:25:16,2022-07-31,02:25:16,Ghoul,You just didnt pray enough, ,,feedback-and-bugs,pray
500,2022-07-31 02:24:32,2022-07-31,02:24:32,Sternitzky,Bad RNG. I crafted really a lot until I got a golden assault rifle., ,,feedback-and-bugs,bad rng craft lot golden assault rifl
501,2022-07-31 02:22:50,2022-07-31,02:22:50,ExoDus291,"Oof, Nice compression Discord.", ,,general-chat,oof nice compress discord
502,2022-07-31 02:22:39,2022-07-31,02:22:39,ExoDus291,Nomad Trying to understand what the hell is happening to Auroa, ,,general-chat,nomad understand hell happen auroa
503,2022-07-31 02:18:13,2022-07-31,02:18:13,PorterEva,Aaroooooooooon! Stop vandalising the damn CITES just because the JTF fucked UP, ,,general-chat,aaroon vandalis damn cite jtf fuck
504,2022-07-31 02:18:07,2022-07-31,02:18:07,Weech / Tobias,"I crafted one weapon to expertise level 13 and it yielded standard quality in 9 of 10 times, is this some kind of bug or just really bad rng?", ,,feedback-and-bugs,craft weapon expertis level yield standard qualiti time bug bad rng
505,2022-07-31 02:17:22,2022-07-31,02:17:22,battlebot579,mines this one which is Aaron Keener, ,,general-chat,mine aaron keener
506,2022-07-31 02:16:45,2022-07-31,02:16:45,ExoDus291,, ,,general-chat,nan
507,2022-07-31 02:16:30,2022-07-31,02:16:30,PorterEva,"nah, made sure to have a good pfp that i will keep for years to come", ,,general-chat,nah pfp
508,2022-07-31 02:16:05,2022-07-31,02:16:05,battlebot579,dont think you can change them now to custom ones, ,,general-chat,chang custom
509,2022-07-31 02:16:00,2022-07-31,02:16:00,ExoDus291, , ,,general-chat,
510,2022-07-31 02:15:50,2022-07-31,02:15:50,PorterEva,a small problem innit bruw?, ,,general-chat,innit bruw
511,2022-07-31 02:15:40,2022-07-31,02:15:40,PorterEva,https://tenor.com/view/emoji-discord-disappointed-unfunny-not-funny-gif-22138718, ,,general-chat,
512,2022-07-31 02:15:37,2022-07-31,02:15:37,ExoDus291,wgar the hell ubi, ,,general-chat,wgar hell ubi
513,2022-07-31 02:15:30,2022-07-31,02:15:30,ExoDus291,oh, ,,general-chat,
514,2022-07-31 02:15:22,2022-07-31,02:15:22,battlebot579,My pfp is still this one, ,PorterEva,general-chat,pfp
515,2022-07-31 02:14:58,2022-07-31,02:14:58,PorterEva,where upload button?, ,,general-chat,upload button
516,2022-07-31 02:14:40,2022-07-31,02:14:40,ExoDus291,account managment, ,,general-chat,account manag
517,2022-07-31 02:14:35,2022-07-31,02:14:35,ExoDus291,oh, ,PorterEva,general-chat,
518,2022-07-31 02:13:54,2022-07-31,02:13:54,PorterEva,where upload button?, ,,general-chat,upload button
519,2022-07-31 02:13:47,2022-07-31,02:13:47,D3LT4_Moody,"I'm not really a fan of it currently, feels a bit off in my opinion. Talked a bit about that yesterday in my interview", ,battlebot579,general-chat,fan feel bit opinion talk bit yesterday interview
520,2022-07-31 02:13:34,2022-07-31,02:13:34,ExoDus291,hold on Imma see if I can do a funneh, ,,general-chat,hold imma funneh
521,2022-07-31 02:13:13,2022-07-31,02:13:13,Sternitzky,"Always at your service, and thanks for letting us participate!", ,Gab,feedback-and-bugs,servic let particip
522,2022-07-31 02:12:42,2022-07-31,02:12:42,PorterEva,🤯, ,,general-chat,
523,2022-07-31 02:12:37,2022-07-31,02:12:37,ExoDus291,"but yes, I can", ,PorterEva,general-chat,
524,2022-07-31 02:12:29,2022-07-31,02:12:29,ExoDus291,Currently it's the enginner of TF2 smiling, ,,general-chat,enginn tf smile
525,2022-07-31 02:12:15,2022-07-31,02:12:15,PorterEva,can you change your profile picture to a pickle?, ,,general-chat,chang profil pictur pickl
526,2022-07-31 02:11:52,2022-07-31,02:11:52,ExoDus291,pfps are only for OGs?, ,,general-chat,pfps og
527,2022-07-31 02:11:44,2022-07-31,02:11:44,ExoDus291,"wow, really?", ,PorterEva,general-chat,wow
528,2022-07-31 02:05:15,2022-07-31,02:05:15,Ghoul,Been too busy with the mobile cover 😂, ,,general-chat,busi mobil cover
529,2022-07-31 02:05:02,2022-07-31,02:05:02,Ghoul,"Not yet, is on the list for the next test", ,battlebot579,general-chat,list test
530,2022-07-31 01:51:16,2022-07-31,01:51:16,battlebot579,^   if you have a picture of the message then hopefully gab can help you :)), ,AdminMas7er,feedback-and-bugs,^ pictur messag gab
531,2022-07-31 01:50:39,2022-07-31,01:50:39,battlebot579,Yeah Ik theres a lot of stuff 😊 keep up the good work, ,,feedback-and-bugs,yeah ik lot stuff
532,2022-07-31 01:50:18,2022-07-31,01:50:18,Gab,"Oh sure, DM me.", ,,feedback-and-bugs,dm
533,2022-07-31 01:49:50,2022-07-31,01:49:50,battlebot579,I think they have a picture of it at a guess and were asking who to send it to, ,Gab,feedback-and-bugs,pictur guess send
534,2022-07-31 01:48:48,2022-07-31,01:48:48,Gab,We are trying to read all comments and suggestions., ,,feedback-and-bugs,read comment suggest
535,2022-07-31 01:47:32,2022-07-31,01:47:32,battlebot579,  you happy to receive?, ,Gab,feedback-and-bugs,happi receiv
536,2022-07-31 01:47:03,2022-07-31,01:47:03,battlebot579,It says it is for skills and heals and I want to main heals so I wanna know if anybody has tried it and their thoughts on it, ,,general-chat,skill heal main heal wanna
537,2022-07-31 01:46:20,2022-07-31,01:46:20,battlebot579,Has anybody tried tech specialist, ,,general-chat,tech specialist
538,2022-07-31 01:46:11,2022-07-31,01:46:11,battlebot579,Yeah that doesnt surprise me, ,D3LT4_Moody,general-chat,yeah surpris
539,2022-07-31 01:45:18,2022-07-31,01:45:18,D3LT4_Moody,Siege community is pretty far up there with toxicity. That's why I don't really play anymore unless I can avoid randoms, ,PorterEva,general-chat,sieg communiti pretti toxic play avoid random
540,2022-07-31 01:43:27,2022-07-31,01:43:27,D3LT4_Moody,"Damn,I just tried the bullet king with the aimbot skill and that combo f ing slaps 🙃", ,,general-chat,damn bullet king aimbot skill combo ing slap
541,2022-07-31 01:41:08,2022-07-31,01:41:08,PorterEva,damn Rainbow Six Siege. might aswell disable VOIP in that game, ,,general-chat,damn rainbow sieg aswel disabl voip game
542,2022-07-31 01:40:40,2022-07-31,01:40:40,PorterEva,Trolling isn't a problem for Ubi anymore. they removed custom profile pictures lol. only OG's have it now, ,,general-chat,troll ubi remov custom profil pictur lol og
543,2022-07-31 01:28:21,2022-07-31,01:28:21,Gab,"Thanks for your feedback, guys!", ,,feedback-and-bugs,feedback guy
544,2022-07-31 01:23:09,2022-07-31,01:23:09,AdminMas7er,"Its not an error code btw, its just a message", ,,feedback-and-bugs,error code btw messag
545,2022-07-31 01:22:47,2022-07-31,01:22:47,AdminMas7er,I just wanna know which devs wants to recieve it, ,,feedback-and-bugs,wanna dev reciev
546,2022-07-31 01:17:15,2022-07-31,01:17:15,battlebot579,Theres one for not enough storage and one for weak internet but I dont know their codes or any others, ,,feedback-and-bugs,storag weak internet code
547,2022-07-31 01:16:33,2022-07-31,01:16:33,battlebot579,If you see the error again and it has some sort of code the devs will know what it means, ,AdminMas7er,feedback-and-bugs,error sort code dev
548,2022-07-31 01:15:13,2022-07-31,01:15:13,TheCrusader,https://c.tenor.com/TtuWYyYO1XkAAAAM/monkey-look-the-other-way.gif, ,D3LT4_Moody,general-chat,
549,2022-07-31 01:14:41,2022-07-31,01:14:41,AdminMas7er,"Ingame character name: StefanDevice Information:Sony Xperia 5 II-Android 12Issue:Weird error popped up when opening the gameIssue Type:Menu, startup, etc.Deacription;When booting up the game once, a wierd error appeard at one point but it didn't affect the game visibltResult:error appearsExpected resukt: no errorSteps to reproduce:error appeard randomly so cannot reproduce. I can provide the screenshot of said error", ,,feedback-and-bugs,ingam charact stefandevic soni xperia iiandroid issu weird error pop gameissu type menu startup deacript boot game wierd error appeard affect game visibltresult error appearsexpect resukt errorstep reproduc error appeard random reproduc provid screenshot error
550,2022-07-31 01:12:38,2022-07-31,01:12:38,lolo-_-guitarra,"Ingame character name: lologuitarraDevice information: Pocophone F2 ProIssue: The shooting room is not enabled at the main baseIssue type: gameplayDescription: Testing weapons if you go to shooting room, you cannot shootResult: NothingExpected result: Shoot at the targetsSteps to reproduce: Go to he shooting room in NYC Base of Operations", ,,feedback-and-bugs,ingam charact lologuitarradevic pocophon proissu shoot enabl main baseissu type gameplaydescript test weapon shoot shootresult nothingexpect result shoot targetsstep reproduc shoot nyc base oper
551,2022-07-31 00:52:40,2022-07-31,00:52:40,Ghoul,Nah I always get the feeling its a bit of roulette if you get invited, ,,general-chat,nah feel bit roulett invit
552,2022-07-31 00:48:21,2022-07-31,00:48:21,D3LT4_Moody,"Ok, yeah, You're right 😅😆", ,Ghoul,general-chat,yeah
553,2022-07-31 00:47:12,2022-07-31,00:47:12,Ghoul,"You troll too much, you wont be accepted.", ,D3LT4_Moody,general-chat,troll accept
554,2022-07-31 00:41:25,2022-07-31,00:41:25,D3LT4_Moody,"Hey Ubi guys, Any chance being in this test helps my chances of getting in the division heartland test as well? ☺️🙃", ,,general-chat,hey ubi guy chanc test help chanc divis heartland test
555,2022-07-30 23:03:45,2022-07-30,23:03:45,D3LT4_Moody,*Confusion is very effective*Bungie sued itself in it's confusion, ,,general-chat,confus effect bungi su confus
556,2022-07-30 22:04:52,2022-07-30,22:04:52,PorterEva,the copyright claims look stupid. Bungie sues Bungie 🤔, ,,general-chat,copyright claim stupid bungi sue bungi
557,2022-07-30 22:03:53,2022-07-30,22:03:53,PorterEva,wait there this Bungie Lawsuit where someone impersonates as Bungie, ,,general-chat,wait bungi lawsuit imperson bungi
558,2022-07-30 22:03:21,2022-07-30,22:03:21,PorterEva,i would be laughing if that ever happens, ,,general-chat,laugh
559,2022-07-30 22:02:35,2022-07-30,22:02:35,PorterEva,https://media.discordapp.net/attachments/402100224836763648/982047189620654130/skill_issue.gif, ,,general-chat,
560,2022-07-30 21:46:21,2022-07-30,21:46:21,battlebot579,https://tenor.com/view/caught-in-4k-caught-in4k-chungus-gif-19840038, ,,general-chat,
561,2022-07-30 21:46:10,2022-07-30,21:46:10,battlebot579,Caught in 4k, ,,general-chat,caught
562,2022-07-30 21:45:34,2022-07-30,21:45:34,battlebot579,Aloha 😂, ,,general-chat,aloha
563,2022-07-30 21:45:23,2022-07-30,21:45:23,D3LT4_Moody,Headline: * billion dollar gaming corporation shutdown due to leaking alpha gemplay footage - ignoring nda *, ,,general-chat,headlin billion dollar game corpor shutdown leak alpha gemplay footag ignor nda
564,2022-07-30 21:45:15,2022-07-30,21:45:15,battlebot579,"It is officially released footage, nobody can be banned for it", ,D3LT4_Moody,general-chat,offici releas footag ban
565,2022-07-30 21:18:19,2022-07-30,21:18:19,PorterEva,i still need my Ubi games, ,,general-chat,ubi game
566,2022-07-30 21:18:11,2022-07-30,21:18:11,PorterEva,https://tenor.com/view/kassandra-assassins-creed-odyssey-ac-odyssey-assassins-creed-nope-gif-25205731, ,,general-chat,
567,2022-07-30 21:17:54,2022-07-30,21:17:54,Riggy Gaming,https://tenor.com/view/cat-wow-shock-drama-ohhh-gif-22585288, ,,general-chat,
568,2022-07-30 21:13:53,2022-07-30,21:13:53,Frays,🔨, ,,general-chat,
569,2022-07-30 20:59:28,2022-07-30,20:59:28,D3LT4_Moody,"Carefull, now that we know who's footage it is, ubi might get banned ...", ,battlebot579,general-chat,careful footag ubi ban
570,2022-07-30 20:58:37,2022-07-30,20:58:37,D3LT4_Moody,"Nice, does it also work on wear os watch?", ,Ghoul,general-chat,nice wear os watch
571,2022-07-30 19:02:50,2022-07-30,19:02:50,battlebot579,This is ubi footage so theres no player ID 😂, ,Falail81,general-chat,ubi footag player
572,2022-07-30 18:23:35,2022-07-30,18:23:35,Falail81,Hey i will play it too without Player Id in Screen 🤣, ,Dyno,general-chat,hey play player screen
