发文原始时间,发文日期,发文时间 HH:MM:SS,发布者名字,内容信息,机翻内容,被提及人,频道
2022-07-31 14:30:20,2022-07-31,14:30:20,PorterEva,https://tenor.com/view/disappointment-gif-24012485, ,,general-chat
2022-07-31 12:42:39,2022-07-31,12:42:39,Riggy Gaming,And it runs pretty well on max graphics 😅, ,,feedback-and-bugs
2022-07-31 12:42:09,2022-07-31,12:42:09,Riggy Gaming,I am playing it on that phone 😅, ,HiKo,feedback-and-bugs
2022-07-31 09:03:52,2022-07-31,09:03:52,battlebot579,Running CoDM not much good if ubi hasn't tested it (or it did not satisfy them with the outcome on the device), ,HiKo,feedback-and-bugs
2022-07-31 08:48:15,2022-07-31,08:48:15,HiKo,Why i can't play the game ?Why my phone is not compatible with the game ?He can run COD mobile without any problems (Samsung A70), ,,feedback-and-bugs
2022-07-31 07:48:11,2022-07-31,07:48:11,Sternitzky,"Ingame character name (Avatrunei)Device information (Samsung Galaxy S20 FE 5G)Issue (Couldn't finish weekly bounty)Issue type (environment)Description (All enemies down in Lt. Boom instance, yet the game prompts me to secure the area)Result (Couldn't finish the instance, had to force-close game)Expected result (All enemies down, being able to leave instance to main map)Steps to reproduce (At the Statue of Liberty I snipered all the last enemies to death from distance. Maybe this caused the issue.)", ,,feedback-and-bugs
2022-07-31 07:37:45,2022-07-31,07:37:45,Dyno,"Ingame character name (please specify)Device informationIssue (Can you say in as few words as possible what happened that you think is wrong)Issue type (Is it an issue with the gameplay, UI, menu, visual, auditory or the environment)Description (What exactly is the issue at hand, can you describe in detail what the bug is or what it does/causes the game to do)Result (What happened that should not have happened)Expected result (What, if anything, should whatever you did to experience the bug have done normally)Steps to reproduce (Describe in as much detail as you can, with anything that you think is relevant, what exactly you did that caused this issue, so that it can be reproduced, confirmed by staff in cross-referenced to other reports and fixed)", ,,feedback-and-bugs
2022-07-31 07:37:45,2022-07-31,07:37:45,Sternitzky,?SHDbug, ,,feedback-and-bugs
2022-07-31 06:47:51,2022-07-31,06:47:51,Ticklish,https://tenor.com/view/agt-americas-got-talent-piers-morgan-golden-buzzer-push-gif-4434998, ,,general-chat
2022-07-31 06:46:19,2022-07-31,06:46:19,battlebot579,"Not compatible with my xperia 10 III either (I know that s21 should've been compatible) but swings and roundabouts at least you are here right? You could've just not been selected, if you have a read through lots of the channels you can absorb knowledge about the game Hopefully by next time more phones will be available", ,hakuna matata,feedback-and-bugs
2022-07-31 06:30:00,2022-07-31,06:30:00,hakuna matata,I could not even play it cuz it's not compatible with my Samsung s21 5g, ,,feedback-and-bugs
2022-07-31 06:29:40,2022-07-31,06:29:40,battlebot579,https://tenor.com/view/simon-cowell-look-stare-red-eyes-laser-gif-12692635, ,,general-chat
2022-07-31 06:21:11,2022-07-31,06:21:11,Ticklish,https://tenor.com/view/hacker-hack-gif-21380096, ,,general-chat
2022-07-31 06:20:33,2022-07-31,06:20:33,Ticklish,Nice email there, ,PorterEva,general-chat
2022-07-31 04:32:13,2022-07-31,04:32:13,Gregg2G,man I swear european mosquitoes are more stealthy than american mosquitoes, ,,general-chat
2022-07-31 04:31:59,2022-07-31,04:31:59,Gregg2G,ffffff mosiquito in my room somewhere eating me alive, ,,general-chat
2022-07-31 04:25:46,2022-07-31,04:25:46,battlebot579,still got what 26 hours so no pressure, ,,general-chat
2022-07-31 04:25:31,2022-07-31,04:25:31,Gregg2G,it's late though I'll try to get on earlier tomorrow, ,,general-chat
2022-07-31 04:25:25,2022-07-31,04:25:25,battlebot579,try again tomorrow then?, ,,general-chat
2022-07-31 04:24:51,2022-07-31,04:24:51,Gregg2G,might be a chore to find someone at this point.. only been one or two people playing missions for the last hour :x one guy doing a mission on story difficulty and I don't know if I can / want to crash someone's story mode mission, ,battlebot579,general-chat
2022-07-31 03:44:28,2022-07-31,03:44:28,flashyboy82,I think a wee night of div 1 legendaries is my plan for this evening. Wife and son are away to bed early haha, ,,other-division-games
2022-07-31 03:44:22,2022-07-31,03:44:22,battlebot579,Its the teach a man to fish thing 😂, ,,general-chat
2022-07-31 03:44:17,2022-07-31,03:44:17,Gregg2G,"I do like healing too, so I should give it a shot anyway", ,,general-chat
2022-07-31 03:44:05,2022-07-31,03:44:05,battlebot579,instead of carrying you make the noob carry themselves, ,,general-chat
2022-07-31 03:43:44,2022-07-31,03:43:44,Gregg2G,"yeah I'm sure I could do that, instead of just carrying and wiping everything out like I usually do 😅", ,,general-chat
2022-07-31 03:43:27,2022-07-31,03:43:27,battlebot579,If it stops them dying well then I'll take it 😂, ,,general-chat
2022-07-31 03:42:52,2022-07-31,03:42:52,battlebot579,"pls do I wanna run a healer build, try and run with a super low level person and keep them alive or something", ,Gregg2G,general-chat
2022-07-31 03:41:31,2022-07-31,03:41:31,Gregg2G,oh 23:59 plenty of time, ,,general-chat
2022-07-31 03:41:15,2022-07-31,03:41:15,Gregg2G,what time does it end tomorrow?, ,,general-chat
2022-07-31 03:40:50,2022-07-31,03:40:50,Gregg2G,could give it a shot tonight or tomorrow, ,,general-chat
2022-07-31 03:40:31,2022-07-31,03:40:31,Gregg2G,"haven't tried the healing variant, since healing isn't really needed in the current content", ,,general-chat
2022-07-31 03:40:14,2022-07-31,03:40:14,battlebot579,How about for heals doe, ,Gregg2G,general-chat
2022-07-31 03:39:56,2022-07-31,03:39:56,Gregg2G,With over 500 engineering and +20% uptime my drones just clear out whole rooms in seconds, ,,general-chat
2022-07-31 03:38:42,2022-07-31,03:38:42,Gregg2G,I like tech specialist a lot actually. Might be the strongest build I used so far., ,,general-chat
2022-07-31 03:37:55,2022-07-31,03:37:55,Ghoul,Like flashboy already said ❤️, ,,general-chat
2022-07-31 03:37:31,2022-07-31,03:37:31,Ghoul,And close it, ,,general-chat
2022-07-31 03:37:24,2022-07-31,03:37:24,Ghoul,And I just use the the button to show all active applications, ,,general-chat
2022-07-31 03:37:14,2022-07-31,03:37:14,flashyboy82,"Game autosaves and closing it well when I hit my homescreen button it closes it, occasionally I have to bring up the rolling screen for closing all active apps", ,,general-chat
2022-07-31 03:36:44,2022-07-31,03:36:44,Ghoul,"You dont need to save, its automatic", ,,general-chat
2022-07-31 03:35:27,2022-07-31,03:35:27,xSILVERFALCONx,How do you save and close the game, ,,general-chat
2022-07-31 03:23:32,2022-07-31,03:23:32,Ghoul,Its a bug!, ,,other-division-games
2022-07-31 03:16:46,2022-07-31,03:16:46,battlebot579,underwhelming or just doesn't work as well as it should, ,,general-chat
2022-07-31 03:16:07,2022-07-31,03:16:07,battlebot579,whats up with it like, ,D3LT4_Moody,general-chat
2022-07-31 03:15:13,2022-07-31,03:15:13,battlebot579,https://tenor.com/view/why-whatever-gif-23592041, ,Ghoul,other-division-games
2022-07-31 03:14:48,2022-07-31,03:14:48,Dyno,"Ingame character name (please specify)Device informationIssue (Can you say in as few words as possible what happened that you think is wrong)Issue type (Is it an issue with the gameplay, UI, menu, visual, auditory or the environment)Description (What exactly is the issue at hand, can you describe in detail what the bug is or what it does/causes the game to do)Result (What happened that should not have happened)Expected result (What, if anything, should whatever you did to experience the bug have done normally)Steps to reproduce (Describe in as much detail as you can, with anything that you think is relevant, what exactly you did that caused this issue, so that it can be reproduced, confirmed by staff in cross-referenced to other reports and fixed)", ,,other-division-games
2022-07-31 03:14:48,2022-07-31,03:14:48,Ghoul,?SHDbug, ,,other-division-games
2022-07-31 02:52:11,2022-07-31,02:52:11,PorterEva,someone is opening crates outside my group and i'm getting weekly directive intel mission progression lol, ,,other-division-games
2022-07-31 02:31:14,2022-07-31,02:31:14,PorterEva,https://tenor.com/view/homie-shower-gotchu-sneaky-gif-13813267, ,,general-chat
2022-07-31 02:31:13,2022-07-31,02:31:13,PorterEva,Discord:, ,,general-chat
2022-07-31 02:26:54,2022-07-31,02:26:54,Sternitzky,Standard quality in 9 of 10 times is really bad luck. I had in that time many greens or blues., ,,feedback-and-bugs
2022-07-31 02:25:16,2022-07-31,02:25:16,Ghoul,You just didnt pray enough, ,,feedback-and-bugs
2022-07-31 02:24:32,2022-07-31,02:24:32,Sternitzky,Bad RNG. I crafted really a lot until I got a golden assault rifle., ,,feedback-and-bugs
2022-07-31 02:22:50,2022-07-31,02:22:50,ExoDus291,"Oof, Nice compression Discord.", ,,general-chat
2022-07-31 02:22:39,2022-07-31,02:22:39,ExoDus291,Nomad Trying to understand what the hell is happening to Auroa, ,,general-chat
2022-07-31 02:18:13,2022-07-31,02:18:13,PorterEva,Aaroooooooooon! Stop vandalising the damn CITES just because the JTF fucked UP, ,,general-chat
2022-07-31 02:18:07,2022-07-31,02:18:07,Weech / Tobias,"I crafted one weapon to expertise level 13 and it yielded standard quality in 9 of 10 times, is this some kind of bug or just really bad rng?", ,,feedback-and-bugs
2022-07-31 02:17:22,2022-07-31,02:17:22,battlebot579,mines this one which is Aaron Keener, ,,general-chat
2022-07-31 02:16:45,2022-07-31,02:16:45,ExoDus291,, ,,general-chat
2022-07-31 02:16:30,2022-07-31,02:16:30,PorterEva,"nah, made sure to have a good pfp that i will keep for years to come", ,,general-chat
2022-07-31 02:16:05,2022-07-31,02:16:05,battlebot579,dont think you can change them now to custom ones, ,,general-chat
2022-07-31 02:16:00,2022-07-31,02:16:00,ExoDus291, , ,,general-chat
2022-07-31 02:15:50,2022-07-31,02:15:50,PorterEva,a small problem innit bruw?, ,,general-chat
2022-07-31 02:15:40,2022-07-31,02:15:40,PorterEva,https://tenor.com/view/emoji-discord-disappointed-unfunny-not-funny-gif-22138718, ,,general-chat
2022-07-31 02:15:37,2022-07-31,02:15:37,ExoDus291,wgar the hell ubi, ,,general-chat
2022-07-31 02:15:30,2022-07-31,02:15:30,ExoDus291,oh, ,,general-chat
2022-07-31 02:15:22,2022-07-31,02:15:22,battlebot579,My pfp is still this one, ,PorterEva,general-chat
2022-07-31 02:14:58,2022-07-31,02:14:58,PorterEva,where upload button?, ,,general-chat
2022-07-31 02:14:40,2022-07-31,02:14:40,ExoDus291,account managment, ,,general-chat
2022-07-31 02:14:35,2022-07-31,02:14:35,ExoDus291,oh, ,PorterEva,general-chat
2022-07-31 02:13:47,2022-07-31,02:13:47,D3LT4_Moody,"I'm not really a fan of it currently, feels a bit off in my opinion. Talked a bit about that yesterday in my interview", ,battlebot579,general-chat
2022-07-31 02:13:34,2022-07-31,02:13:34,ExoDus291,hold on Imma see if I can do a funneh, ,,general-chat
2022-07-31 02:13:13,2022-07-31,02:13:13,Sternitzky,"Always at your service, and thanks for letting us participate!", ,Gab,feedback-and-bugs
2022-07-31 02:12:42,2022-07-31,02:12:42,PorterEva,🤯, ,,general-chat
2022-07-31 02:12:37,2022-07-31,02:12:37,ExoDus291,"but yes, I can", ,PorterEva,general-chat
2022-07-31 02:12:29,2022-07-31,02:12:29,ExoDus291,Currently it's the enginner of TF2 smiling, ,,general-chat
2022-07-31 02:12:15,2022-07-31,02:12:15,PorterEva,can you change your profile picture to a pickle?, ,,general-chat
2022-07-31 02:11:52,2022-07-31,02:11:52,ExoDus291,pfps are only for OGs?, ,,general-chat
2022-07-31 02:11:44,2022-07-31,02:11:44,ExoDus291,"wow, really?", ,PorterEva,general-chat
2022-07-31 02:05:15,2022-07-31,02:05:15,Ghoul,Been too busy with the mobile cover 😂, ,,general-chat
2022-07-31 02:05:02,2022-07-31,02:05:02,Ghoul,"Not yet, is on the list for the next test", ,battlebot579,general-chat
2022-07-31 01:51:16,2022-07-31,01:51:16,battlebot579,^   if you have a picture of the message then hopefully gab can help you :)), ,AdminMas7er,feedback-and-bugs
2022-07-31 01:50:39,2022-07-31,01:50:39,battlebot579,Yeah Ik theres a lot of stuff 😊 keep up the good work, ,,feedback-and-bugs
2022-07-31 01:50:18,2022-07-31,01:50:18,Gab,"Oh sure, DM me.", ,,feedback-and-bugs
2022-07-31 01:49:50,2022-07-31,01:49:50,battlebot579,I think they have a picture of it at a guess and were asking who to send it to, ,Gab,feedback-and-bugs
2022-07-31 01:48:48,2022-07-31,01:48:48,Gab,We are trying to read all comments and suggestions., ,,feedback-and-bugs
2022-07-31 01:47:32,2022-07-31,01:47:32,battlebot579,  you happy to receive?, ,Gab,feedback-and-bugs
2022-07-31 01:47:03,2022-07-31,01:47:03,battlebot579,It says it is for skills and heals and I want to main heals so I wanna know if anybody has tried it and their thoughts on it, ,,general-chat
2022-07-31 01:46:20,2022-07-31,01:46:20,battlebot579,Has anybody tried tech specialist, ,,general-chat
2022-07-31 01:46:11,2022-07-31,01:46:11,battlebot579,Yeah that doesnt surprise me, ,D3LT4_Moody,general-chat
2022-07-31 01:45:18,2022-07-31,01:45:18,D3LT4_Moody,Siege community is pretty far up there with toxicity. That's why I don't really play anymore unless I can avoid randoms, ,PorterEva,general-chat
2022-07-31 01:43:27,2022-07-31,01:43:27,D3LT4_Moody,"Damn,I just tried the bullet king with the aimbot skill and that combo f ing slaps 🙃", ,,general-chat
2022-07-31 01:41:08,2022-07-31,01:41:08,PorterEva,damn Rainbow Six Siege. might aswell disable VOIP in that game, ,,general-chat
2022-07-31 01:40:40,2022-07-31,01:40:40,PorterEva,Trolling isn't a problem for Ubi anymore. they removed custom profile pictures lol. only OG's have it now, ,,general-chat
2022-07-31 01:28:21,2022-07-31,01:28:21,Gab,"Thanks for your feedback, guys!", ,,feedback-and-bugs
2022-07-31 01:23:09,2022-07-31,01:23:09,AdminMas7er,"Its not an error code btw, its just a message", ,,feedback-and-bugs
2022-07-31 01:22:47,2022-07-31,01:22:47,AdminMas7er,I just wanna know which devs wants to recieve it, ,,feedback-and-bugs
2022-07-31 01:17:15,2022-07-31,01:17:15,battlebot579,Theres one for not enough storage and one for weak internet but I dont know their codes or any others, ,,feedback-and-bugs
2022-07-31 01:16:33,2022-07-31,01:16:33,battlebot579,If you see the error again and it has some sort of code the devs will know what it means, ,AdminMas7er,feedback-and-bugs
2022-07-31 01:15:13,2022-07-31,01:15:13,TheCrusader,https://c.tenor.com/TtuWYyYO1XkAAAAM/monkey-look-the-other-way.gif, ,D3LT4_Moody,general-chat
2022-07-31 01:14:41,2022-07-31,01:14:41,AdminMas7er,"Ingame character name: StefanDevice Information:Sony Xperia 5 II-Android 12Issue:Weird error popped up when opening the gameIssue Type:Menu, startup, etc.Deacription;When booting up the game once, a wierd error appeard at one point but it didn't affect the game visibltResult:error appearsExpected resukt: no errorSteps to reproduce:error appeard randomly so cannot reproduce. I can provide the screenshot of said error", ,,feedback-and-bugs
2022-07-31 01:12:38,2022-07-31,01:12:38,lolo-_-guitarra,"Ingame character name: lologuitarraDevice information: Pocophone F2 ProIssue: The shooting room is not enabled at the main baseIssue type: gameplayDescription: Testing weapons if you go to shooting room, you cannot shootResult: NothingExpected result: Shoot at the targetsSteps to reproduce: Go to he shooting room in NYC Base of Operations", ,,feedback-and-bugs
2022-07-31 00:52:40,2022-07-31,00:52:40,Ghoul,Nah I always get the feeling its a bit of roulette if you get invited, ,,general-chat
2022-07-31 00:48:21,2022-07-31,00:48:21,D3LT4_Moody,"Ok, yeah, You're right 😅😆", ,Ghoul,general-chat
2022-07-31 00:47:12,2022-07-31,00:47:12,Ghoul,"You troll too much, you wont be accepted.", ,D3LT4_Moody,general-chat
2022-07-31 00:41:25,2022-07-31,00:41:25,D3LT4_Moody,"Hey Ubi guys, Any chance being in this test helps my chances of getting in the division heartland test as well? ☺️🙃", ,,general-chat
2022-07-30 23:03:45,2022-07-30,23:03:45,D3LT4_Moody,*Confusion is very effective*Bungie sued itself in it's confusion, ,,general-chat
2022-07-30 22:04:52,2022-07-30,22:04:52,PorterEva,the copyright claims look stupid. Bungie sues Bungie 🤔, ,,general-chat
2022-07-30 22:03:53,2022-07-30,22:03:53,PorterEva,wait there this Bungie Lawsuit where someone impersonates as Bungie, ,,general-chat
2022-07-30 22:03:21,2022-07-30,22:03:21,PorterEva,i would be laughing if that ever happens, ,,general-chat
2022-07-30 22:02:35,2022-07-30,22:02:35,PorterEva,https://media.discordapp.net/attachments/402100224836763648/982047189620654130/skill_issue.gif, ,,general-chat
2022-07-30 21:46:21,2022-07-30,21:46:21,battlebot579,https://tenor.com/view/caught-in-4k-caught-in4k-chungus-gif-19840038, ,,general-chat
2022-07-30 21:46:10,2022-07-30,21:46:10,battlebot579,Caught in 4k, ,,general-chat
2022-07-30 21:45:34,2022-07-30,21:45:34,battlebot579,Aloha 😂, ,,general-chat
2022-07-30 21:45:23,2022-07-30,21:45:23,D3LT4_Moody,Headline: * billion dollar gaming corporation shutdown due to leaking alpha gemplay footage - ignoring nda *, ,,general-chat
2022-07-30 21:45:15,2022-07-30,21:45:15,battlebot579,"It is officially released footage, nobody can be banned for it", ,D3LT4_Moody,general-chat
2022-07-30 21:18:19,2022-07-30,21:18:19,PorterEva,i still need my Ubi games, ,,general-chat
2022-07-30 21:18:11,2022-07-30,21:18:11,PorterEva,https://tenor.com/view/kassandra-assassins-creed-odyssey-ac-odyssey-assassins-creed-nope-gif-25205731, ,,general-chat
2022-07-30 21:17:54,2022-07-30,21:17:54,Riggy Gaming,https://tenor.com/view/cat-wow-shock-drama-ohhh-gif-22585288, ,,general-chat
2022-07-30 21:13:53,2022-07-30,21:13:53,Frays,🔨, ,,general-chat
2022-07-30 20:59:28,2022-07-30,20:59:28,D3LT4_Moody,"Carefull, now that we know who's footage it is, ubi might get banned ...", ,battlebot579,general-chat
2022-07-30 20:58:37,2022-07-30,20:58:37,D3LT4_Moody,"Nice, does it also work on wear os watch?", ,Ghoul,general-chat
2022-07-30 19:02:50,2022-07-30,19:02:50,battlebot579,This is ubi footage so theres no player ID 😂, ,Falail81,general-chat
2022-07-30 18:23:35,2022-07-30,18:23:35,Falail81,Hey i will play it too without Player Id in Screen 🤣, ,Dyno,general-chat
2022-07-30 17:50:39,2022-07-30,17:50:39,~~DesertRainbow~~,I like it but if you don't center everything properly..., ,,general-chat
2022-07-30 17:43:03,2022-07-30,17:43:03,Sternitzky,".Another possibility (we're already talking about roleplay features in combination with shooter mechanics) would be thinking about, if the post-apocalyptic world of The Division would benefit from some features what games like State of Decay 2 are doing right. Since playing on smartphones are a bit tricky compared to the mouse-view mechanic on PC, one could implement recruitable NPCs. After doing some story missions they would be stationed at your personal base. But you could limit recruiting them to only one at a time and only single-playing gamers who are prone to be easily cornered compared to friends playing in a group. Outfitting them with obtained or built weapons & gear would engage and keep the gamers busy. And (let's face it, you knew it) these NPCs could be outfitted with cosmetic clothes as well. These are my thoughts for now.", ,,feedback-and-bugs
2022-07-30 17:42:58,2022-07-30,17:42:58,Sternitzky,"My thoughts about gameplay features. I don't know what features are in the game, but still aren't activated in the Alpha version. Nevertheless I was pondering about features that keep the gamers playing yet to be released The Division: Resurgence. What players keep playing aren't alone friends or foes, the hunt for better weapons & gear or cosmetic clothes. As stated in the questionnaire (yes, I filled it out), even Ubisoft describes the game as a Roleplay Tactical Shooter relying on The Division's praised cover mechanics, so the game stands and falls how particularly the roleplay mechanics are implemented. One of these is base-building, a big deal feature in several successful smartphone games, but also one that was part of the original first title of The Division series. Roleplay features that get you personally attached to keep especially players coming back, who single-play a game (for whatever reason). I don't know whether Resurgence has base-building like The Division 1 or in some different way, but I think Resurgence would definitely benefit from some sort of base-building (again with perks), even if players would get a personal apartment in a skyscraper. Hence we're now at the money-making point, because some sort of base means players can decorate aka personalize it with cosmetic items, if this is one point of income Ubisoft is thinking about. More opportunities for not gameplay-affecting cosmetic items mean simply more income.", ,,feedback-and-bugs
2022-07-30 17:03:05,2022-07-30,17:03:05,Ghoul,"I can add it to my watch, just need some setting up 😄", ,D3LT4_Moody,general-chat
2022-07-30 16:59:58,2022-07-30,16:59:58,Ghoul,Thanks for checking at least 😄 Maybe we will get an answer after the weekend 😄, ,dededeth,general-chat
2022-07-30 16:48:07,2022-07-30,16:48:07,Sternitzky,"Ingame character name (Avatrunei)Device information (Samsung Galaxy S20 FE 5G)Issue (No strip weapon button)Issue type (menu)Description (There is no strip weapon button, hence you must strip all weapon mods one by one, if you want to exchange your old weapon with your new one.)Result (clickfest)Expected result (less time-consuming clicking)Steps to reproduce (no bug, so nothing to reproduce, there is simply a missing quality benefitting feature)", ,,feedback-and-bugs
2022-07-30 16:37:26,2022-07-30,16:37:26,Frays,hey hey hey, ,,general-chat
2022-07-30 16:36:17,2022-07-30,16:36:17,LukeD,"Also morning agents, happy weekend 😁", ,,general-chat
2022-07-30 16:36:07,2022-07-30,16:36:07,LukeD,"Galaxy watch user here, when done. Gib? Thank.", ,Ghoul,general-chat
2022-07-30 15:44:13,2022-07-30,15:44:13,D3LT4_Moody,Not too bad 👍Now we just need to make it work on a watch 😀, ,Ghoul,general-chat
2022-07-30 15:43:18,2022-07-30,15:43:18,D3LT4_Moody,Good morning, ,,general-chat
2022-07-30 14:02:07,2022-07-30,14:02:07,flashyboy82,Good morning all, ,,general-chat
2022-07-30 10:32:19,2022-07-30,10:32:19,dededeth,"Hey everyone i'm gonna grab something to eat, if you need anything just tag me", ,,general-chat
2022-07-30 09:12:13,2022-07-30,09:12:13,dededeth,"So, I wasn't able to get any answer, so we have to go with a no, at least for now", ,,general-chat
2022-07-30 07:50:52,2022-07-30,07:50:52,FM ESPORTS - United,the underground hunters was one of the best additions to the game -They need to do more of these 😄, ,,other-division-games
2022-07-30 07:35:01,2022-07-30,07:35:01,Ghoul,Thanks!, ,,general-chat
2022-07-30 07:32:38,2022-07-30,07:32:38,dededeth,"I actually don't know, but let me check", ,Ghoul,general-chat
2022-07-30 07:26:35,2022-07-30,07:26:35,Ghoul,Not bad for a first timer 😄, ,,general-chat
2022-07-30 07:25:45,2022-07-30,07:25:45,Ghoul,, ,,general-chat
2022-07-30 07:01:52,2022-07-30,07:01:52,Ghoul,  ; you guys have some assets you can share 😄 OR arent you allowed 😦, ,dededeth,general-chat
2022-07-30 06:50:14,2022-07-30,06:50:14,Kaleb26,Lol, ,Sternitzky,feedback-and-bugs
2022-07-30 06:41:26,2022-07-30,06:41:26,Ghoul,Let's give this a go 😄, ,D3LT4_Moody,general-chat
2022-07-30 05:28:20,2022-07-30,05:28:20,D3LT4_Moody,"If they do, you could tell me the village and I'll take them in 😁", ,Gregg2G,general-chat
2022-07-30 05:24:01,2022-07-30,05:24:01,Gregg2G,Yeah they were super friendly. Obvious that humans are feeding them too much. Hopefully they don't lose their hunting abilities and become reliant on humans!, ,,general-chat
2022-07-30 05:18:26,2022-07-30,05:18:26,dededeth,They seems nice tho, ,,general-chat
2022-07-30 05:18:11,2022-07-30,05:18:11,dededeth,"Yeah, maybe they are", ,,general-chat
2022-07-30 05:17:25,2022-07-30,05:17:25,Gregg2G,They are so adorable. I would have loved to take them :D but I think they are very outdoor cats and will prefer living in the country eating mice, ,dededeth,general-chat
2022-07-30 05:15:45,2022-07-30,05:15:45,dededeth,Travel partners, ,Gregg2G,general-chat
2022-07-30 05:13:52,2022-07-30,05:13:52,D3LT4_Moody,Cat getting that chicken dinner, ,battlebot579,general-chat
2022-07-30 05:13:31,2022-07-30,05:13:31,D3LT4_Moody,Nice 👍 10/10 would visit that village, ,,general-chat
2022-07-30 05:13:01,2022-07-30,05:13:01,Gregg2G,This was my car yesterday. Invaded by young cats in my Schwiegermutter's village., ,,general-chat
2022-07-30 05:12:31,2022-07-30,05:12:31,battlebot579,[Another fake video] I got my cat to play Fortnite and now s/he destroys me, ,D3LT4_Moody,general-chat
2022-07-30 05:12:29,2022-07-30,05:12:29,Gregg2G,, ,,general-chat
2022-07-30 05:11:31,2022-07-30,05:11:31,D3LT4_Moody,Will I become the noob?, ,,general-chat
2022-07-30 05:11:03,2022-07-30,05:11:03,D3LT4_Moody,"True, Plus will my cat even want to play with me if she turns out to be better?", ,,general-chat
2022-07-30 05:10:49,2022-07-30,05:10:49,battlebot579,"probably the treats, but they would get those anyway as rewards during training", ,Gregg2G,general-chat
2022-07-30 05:09:56,2022-07-30,05:09:56,Gregg2G,"But is the animal loving video games, or just the rewards for playing them 🤔", ,,general-chat
2022-07-30 05:09:42,2022-07-30,05:09:42,battlebot579,"[Fake video idea] I let my dog play videogames as me for a day, and my friends never even realised", ,D3LT4_Moody,general-chat
2022-07-30 05:09:05,2022-07-30,05:09:05,D3LT4_Moody,Might be worth a try🤔, ,battlebot579,general-chat
2022-07-30 05:08:36,2022-07-30,05:08:36,battlebot579,You can teach your animals to play games using interactive floor mats and treats, ,D3LT4_Moody,general-chat
2022-07-30 05:08:35,2022-07-30,05:08:35,D3LT4_Moody,"Even without kids I get little sleep, so that wouldn't really change 🙃", ,,general-chat
2022-07-30 05:07:56,2022-07-30,05:07:56,Gregg2G,Yeah it's nice that animals grow up very quickly. Kids are still worth it if you can deal with investing a few years of little sleep etc ;D, ,,general-chat
2022-07-30 05:06:59,2022-07-30,05:06:59,D3LT4_Moody,"But then again, I can't raise my cat to love and play video games with me ...", ,,general-chat
2022-07-30 05:05:53,2022-07-30,05:05:53,D3LT4_Moody,That's why I prefer my cat to getting a kid xD, ,,general-chat
2022-07-30 05:05:42,2022-07-30,05:05:42,Gregg2G,Yeah you might be right about that :D, ,,general-chat
2022-07-30 05:04:23,2022-07-30,05:04:23,D3LT4_Moody,Throw them into kindergarten and you could probs cut that down to 2 years, ,Gregg2G,general-chat
2022-07-30 05:04:12,2022-07-30,05:04:12,battlebot579,I spend all the hours playing games, ,,general-chat
2022-07-30 05:04:01,2022-07-30,05:04:01,Gregg2G,Not for an old school EverQuest player 😂, ,,general-chat
2022-07-30 05:03:31,2022-07-30,05:03:31,dededeth,4 hours? That's a lot dude, ,,general-chat
2022-07-30 05:03:10,2022-07-30,05:03:10,Gregg2G,Hopefully in 5 or so years once these kids get in school I can get back to gaming more than 4 hours a day on average., ,,general-chat
2022-07-30 05:02:58,2022-07-30,05:02:58,battlebot579,you could, ,,general-chat
2022-07-30 05:02:53,2022-07-30,05:02:53,battlebot579,well, ,,general-chat
2022-07-30 05:02:45,2022-07-30,05:02:45,D3LT4_Moody,"Plus, I guess you could continue playing while pooping", ,battlebot579,general-chat
2022-07-30 05:02:14,2022-07-30,05:02:14,battlebot579,"I sleep for about 7h a day, all the rest of the stuff is so insignificant that I dont bother counting it", ,D3LT4_Moody,general-chat
2022-07-30 05:01:32,2022-07-30,05:01:32,D3LT4_Moody,"You'd need less then 8 hours a day for sleeping, eating and pooping?", ,battlebot579,general-chat
2022-07-30 05:01:25,2022-07-30,05:01:25,Gregg2G,only one crash this entire time, ,,general-chat
2022-07-30 05:01:20,2022-07-30,05:01:20,battlebot579,Thankfully ps5 controllers semi work so I wouldve used that, ,,general-chat
2022-07-30 05:01:14,2022-07-30,05:01:14,Gregg2G,"Ah yea I'm running 46.6C right now, but I use a controller.", ,D3LT4_Moody,general-chat
2022-07-30 05:00:56,2022-07-30,05:00:56,battlebot579,if I could play, ,,general-chat
2022-07-30 05:00:53,2022-07-30,05:00:53,D3LT4_Moody,"My phone could probably manage too, But I'd have 3rd degree burns on my hands if I tried 😆", ,,general-chat
2022-07-30 05:00:46,2022-07-30,05:00:46,battlebot579,hours, ,,general-chat
2022-07-30 05:00:42,2022-07-30,05:00:42,battlebot579,make that 16-17, ,Gregg2G,general-chat
2022-07-30 04:59:48,2022-07-30,04:59:48,Gregg2G,lol my phone could go 24/7 tbh I think that's my main advantage as far as leveling goes in this alpha, ,,general-chat
2022-07-30 04:59:09,2022-07-30,04:59:09,D3LT4_Moody,They would probably have a melted phone by now xD, ,Gregg2G,general-chat
2022-07-30 04:58:46,2022-07-30,04:58:46,Gregg2G,Assuming they have a device capable of that., ,,general-chat
2022-07-30 04:58:22,2022-07-30,04:58:22,Gregg2G,I've played only a total of 28 hours and I'm pushing 30. Someone playing 12 hours a day would definitely be nearing if not already 40 now., ,,general-chat
2022-07-30 04:57:25,2022-07-30,04:57:25,Gregg2G,yea I could see some people being nearly level 40, ,,general-chat
